id,name,streetaddress,latlng,postal,province,lic_status,citytown,lic_number,distance,tool_tip_id,lic_first_issue,lic_conditions,applicant_legal_name,app_streetaddress,app_streetaddress2,app_unitnumber,app_citytown,app_prov,app_postal,app_pci,phone,fax,website,email,primary_contact,management,lic_other_information,careservices,capacity,sprinklers_all,sprinklers_nsuites,sprinklers_locations,lic_conditions_details,documents,show_reports,revoked_w_notes,previously_known_as
6107de5e295d6,Seacliff Manor,30 Seacliff Drive  E.,"42.0337374,-82.5972532",N8H 0E5,null,Issued,Leamington,S0438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5e00e61,Seasons Amherstburg,681 Front Road S.,"42.0871548,-83.1076756",N9V 0B4,null,Issued,Amherstburg,S0155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5bb0c1e,Royal Gardens Retirement Residence,1160 Clonsilla Avenue,"44.293924,-78.3396847",K9J 8P8,null,Issued,Peterborough,T0005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6796f88,Seasons Belle River,1700 County Road #22,"42.2939131,-82.7198594",N0R 1A0,null,Issued,Belle River,S0157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""Seasons Lakeshore"",""until"":""January 1, 2018""}]"
6107de586f92c,Seasons Brantford,55 Diana Avenue,"43.1252985,-80.2855718",N3T 0C2,null,Issued,Brantford,S0153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""Seasons Bell Lane"",""until"":""September 7, 2018""}]"
6107de5c99c78,Seasons Cambridge,15 Fraser Street,"43.3542585,-80.3197047",N1S 1P5,null,Issued,Cambridge,T0582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6713233,Seasons Clarington,65 Clarington Boulevard,"43.9071357,-78.7060333",L1C 0A1,null,Issued,Bowmanville,T0395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de52d2209,Seasons Dufferin Centre,344 Dufferin Avenue,"44.1009852,-77.5854933",K8V 5G9,null,Issued,Trenton,N0188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5dcd697,Seasons Milton,760 Bronte Street  S.,"43.4933793,-79.8686886",L9T 8X4,null,Issued,Milton,T0436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de60016a5,Seasons Owen Sound,1389 16th Avenue E.,"44.5720992,-80.915157",N4K 0A9,null,Issued,Owen Sound,S0158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6243fab,Seasons Royal Oak Village,2400 Sandwich West Parkway,"42.2369317,-83.0218291",N9H 2S8,null,Issued,Lasalle,S0156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5ee3cec,Seasons St. Thomas,40 Ross Street,"42.7763783,-81.1892489",N5R 3W4,null,Issued,St. Thomas,S0497,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de67cb212,Royal Oak Senior Living,39232 Fingal Line,"42.7680663,-81.2381897",N5P 3S5,null,Issued,St. Thomas,S0517,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de53e8e6d,Royal Brock Retirement Living Inc.,100 Steward Blvd.,"44.5973,-75.695843",K6V 4W3,null,Issued,Brockville,N0444,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de635a96c,Richmond Hill Retirement Residence,70 Bernard Avenue,"43.8955171,-79.4403676",L4C 0W7,null,Issued,Richmond Hill,T0063,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5ff1331,Riverpath Retirement Community,80 Landry St.,"45.438413,-75.6716883",K1L 0B4,null,Issued,Ottawa,N0504,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5e979fb,Richmond Lodge,6197 Perth Street,"45.1924541,-75.842505",K0A 2Z0,null,Issued,Richmond,N0096,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6010f7e,Richmond Woods Retirement Residence,200 North Centre Road,"43.0305404,-81.2819289",N5X 0B1,null,Issued,London,S0035,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de65b000f,Richview Manor Retirement Living,10500 Dufferin Street,"43.878766,-79.4921214",L6A 4R1,null,Issued,Maple,T0055,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de639c698,Rideau Ferry Country Home,1333 Rideau Ferry Road,"44.854009,-76.1576145",K7H 3C7,null,Issued,Perth,N0522,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5b440a6,River Gardens Retirement Residence,10 Romeo Street N.,"43.3779637,-80.9637069",N5A 5M7,null,Issued,Stratford,S0136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de60639d4,River Road Retirement Residence,4067 River Road,"43.114058,-79.06294",L2E 3E5,null,Issued,Niagara Falls,S0121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5af040d,Riverbend Place,650 Coronation Boulevard,"43.3769169,-80.3257497",N1R 7S6,null,Issued,Cambridge,T0206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5441722,Riverdale Terrace Waterfront Retirement Residence,1200 Second Street W.,"45.011446,-74.759259",K6J 1J3,null,Issued,Cornwall,N0239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6817bd0,Riverfront Retirement Centre,1810 Montreal Rd,"45.023924,-74.685895",K6H 1G2,null,Issued,Cornwall,N0518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de64e8e23,Riverview Heights Retirement Residence,400 Bell Street,"45.8151152,-77.0961451",K8A 2K5,null,Issued,Pembroke,N0138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
